id	actor_actress_name
862	Tom Hanks
862	Tim Allen
862	Don Rickles
862	Jim Varney
862	Wallace Shawn
862	John Ratzenberger
862	Annie Potts
862	John Morris
862	Erik von Detten
862	Laurie Metcalf
862	R. Lee Ermey
862	Sarah Freeman
862	Penn Jillette
8844	Robin Williams
8844	Jonathan Hyde
8844	Kirsten Dunst
8844	Bradley Pierce
8844	Bonnie Hunt
8844	Bebe Neuwirth
8844	David Alan Grier
8844	Patricia Clarkson
8844	Adam Hann-Byrd
8844	Laura Bell Bundy
8844	James Handy
8844	Gillian Barber
8844	Brandon Obray
8844	Cyrus Thiedeke
8844	Gary Joseph Thorup
8844	Leonard Zola
8844	Lloyd Berry
8844	Malcolm Stewart
8844	Annabel Kershaw
8844	Darryl Henriques
8844	Robyn Driscoll
8844	Peter Bryant
8844	Sarah Gilson
8844	Florica Vlad
8844	June Lion
8844	Brenda Lockmuller
15602	Walter Matthau
15602	Jack Lemmon
15602	Ann-Margret
15602	Sophia Loren
15602	Daryl Hannah
15602	Burgess Meredith
15602	Kevin Pollak
31357	Whitney Houston
31357	Angela Bassett
31357	Loretta Devine
31357	Lela Rochon
31357	Gregory Hines
31357	Dennis Haysbert
31357	Michael Beach
31357	Mykelti Williamson
31357	Lamont Johnson
31357	Wesley Snipes
11862	Steve Martin
11862	Diane Keaton
11862	Martin Short
11862	Kimberly Williams-Paisley
11862	George Newbern
11862	Kieran Culkin
11862	BD Wong
11862	Peter Michael Goetz
11862	Kate McGregor-Stewart
11862	Jane Adams
11862	Eugene Levy
11862	Lori Alan
949	Al Pacino
949	Robert De Niro
949	Val Kilmer
949	Jon Voight
949	Tom Sizemore
949	Diane Venora
949	Amy Brenneman
949	Ashley Judd
949	Mykelti Williamson
949	Natalie Portman
949	Ted Levine
949	Tom Noonan
949	Tone Loc
949	Hank Azaria
949	Wes Studi
949	Dennis Haysbert
949	Danny Trejo
949	Henry Rollins
949	William Fichtner
949	Kevin Gage
949	Susan Traylor
949	Jerry Trimble
949	Ricky Harris
949	Jeremy Piven
949	Xander Berkeley
949	Begonya Plaza
949	Rick Avery
949	Hazelle Goodman
949	Ray Buktenica
949	Max Daniels
949	Vince Deadrick Jr.
949	Steven Ford
949	Farrah Forke
949	Patricia Healy
949	Paul Herman
949	Cindy Katz
949	Brian Libby
949	Dan Martin
949	Mario Roberts
949	Thomas Rosales
949	Jr.
949	Yvonne Zima
949	Mick Gould
949	Bud Cort
949	Viviane Vives
949	Kim Staunton
949	Martin Ferrero
949	Brad Baldridge
949	Andrew Camuccio
949	Kenny Endoso
949	Kimberly Flynn
949	Niki Harris
949	Bill McIntosh
949	Rick Marzan
949	Terry Miller
949	Daniel O'Haco
949	Kai Soremekun
949	Peter Blackwell
949	Trevor Coppola
949	Mary Kircher
949	Darin Mangan
949	Robert Miranda
949	Manny Perry
949	Iva Franks Singer
949	Tim Werner
949	Philip Ettington
11860	Harrison Ford
11860	Julia Ormond
11860	Greg Kinnear
11860	Angie Dickinson
11860	Nancy Marchand
11860	John Wood
11860	Richard Crenna
11860	Lauren Holly
11860	Dana Ivey
11860	Fanny Ardant
11860	Patrick Bruel
11860	Paul Giamatti
11860	Miriam Colón
11860	Elizabeth Franz
11860	Valérie Lemercier
11860	Becky Ann Baker
11860	John C. Vennema
11860	Margo Martindale
11860	J. Smith-Cameron
11860	Christine Luneau-Lipton
11860	Michael Dees
11860	Denis Holmes
11860	Jo-Jo Lowe
11860	Ira Wheeler
11860	Philippa Cooper
11860	Ayako Kawahara
11860	François Genty
11860	Guillaume Gallienne
11860	Inés Sastre
11860	Phina Oruche
11860	Andrea Behalikova
11860	Jennifer Herrera
11860	Kristina Kumlin
11860	Eva Linderholm
11860	Carmen Chaplin
11860	Micheline Van de Velde
11860	Joanna Rhodes
11860	Alan Boone
11860	Patrick Forster-Delmas
11860	Kentaro Matsuo
11860	Peter McKernan
11860	Ed Connelly
11860	Ronald L. Schwary
11860	Alvin Lum
11860	Siching Song
11860	Phil Nee
11860	Randy Becker
11860	Susan Browning
11860	Anthony Mondal
11860	Peter Parks
11860	Woodrow Asai
11860	Eric Bruno Borgman
11860	Michael Cline
11860	Christopher Del Gaudio
11860	Philippe Hartmann
11860	Jerry Quinn
11860	Dori Rosenthal
45325	Jonathan Taylor Thomas
45325	Brad Renfro
45325	Rachael Leigh Cook
45325	Michael McShane
45325	Amy Wright
45325	Eric Schweig
45325	Tamara Mello
9091	Jean-Claude Van Damme
9091	Powers Boothe
9091	Dorian Harewood
9091	Raymond J. Barry
9091	Ross Malinger
9091	Whittni Wright
710	Pierce Brosnan
710	Sean Bean
710	Izabella Scorupco
710	Famke Janssen
710	Joe Don Baker
710	Judi Dench
710	Gottfried John
710	Robbie Coltrane
710	Alan Cumming
710	Tchéky Karyo
710	Desmond Llewelyn
710	Samantha Bond
710	Michael Kitchen
710	Serena Gordon
710	Simon Kunz
710	Billy J. Mitchell
710	Constantine Gregory
710	Minnie Driver
710	Michelle Arthur
710	Ravil Isyanov
9087	Michael Douglas
9087	Annette Bening
9087	Michael J. Fox
9087	Martin Sheen
9087	Anna Deavere Smith
9087	Shawna Waldron
9087	Samantha Mathis
9087	David Paymer
9087	Richard Dreyfuss
9087	Nina Siemaszko
9087	Wendie Malick
9087	Beau Billingslea
9087	Gail Strickland
9087	Joshua Malina
9087	Clement von Franckenstein
9087	John Mahoney
9087	John Mahon
9087	Gabriel Jarret
12110	Leslie Nielsen
12110	Mel Brooks
12110	Amy Yasbeck
12110	Peter MacNicol
12110	Lysette Anthony
12110	Harvey Korman
12110	Steven Weber
12110	Mark Blankfield
12110	Megan Cavanagh
12110	Gregg Binkley
12110	Anne Bancroft
21032	Kevin Bacon
21032	Bob Hoskins
21032	Bridget Fonda
21032	Jim Cummings
21032	Phil Collins
21032	Juliette Brewer
21032	Jack Angel
21032	Danny Mann
21032	Robbie Rist
21032	Sandra Dickinson
21032	Frank Welker
21032	Miriam Margolyes
21032	Lola Bates-Campbell
10858	Anthony Hopkins
10858	Joan Allen
10858	Powers Boothe
10858	Ed Harris
10858	Bob Hoskins
10858	E.G. Marshall
10858	David Paymer
10858	David Hyde Pierce
10858	Paul Sorvino
10858	Mary Steenburgen
