id	language_name
862	English
8844	English
8844	Français
15602	English
31357	English
11862	English
949	English
949	Español
11860	Français
11860	English
45325	English
45325	Deutsch
9091	English
710	English
710	Pусский
710	Español
9087	English
12110	English
12110	Deutsch
21032	English
10858	English
1408	English
1408	Latin
524	English
4584	English
5	English
9273	English
11517	English
8012	English
1710	English
1710	Deutsch
9691	English
9691	Español
9691	Nederlands
12665	English
451	English
16420	English
9263	English
17015	English
902	广州话 / 廣州話
902	Français
37557	普通话
9909	English
63	English
63	Français
78802	English
9598	English
47018	English
687	English
139405	Pусский
139405	English
33689	English
9603	Español
9603	English
34615	English
31174	English
11443	English
35196	English
35196	Español
9312	English
577	English
11861	English
807	English
10530	English
8391	English
629	Español
629	English
629	Français
629	Magyar
117164	
11448	English
49133	shqip
49133	Italiano
26441	English
26441	Deutsch
97406	English
124057	English
9089	English
9089	Español
11010	Italiano
11010	Español
99040	English
99040	Français
11359	English
17182	English
17182	Français
17182	한국어/조선말
17182	Español
2054	English
10607	English
10607	Español
19760	English
9536	English
9536	Pусский
11525	English
11525	Magyar
40628	English
4482	Français
4482	Español
10634	English
755	English
755	Español
11859	English
11859	Español
28387	English
48750	Français
20927	English
36929	English
9102	English
124626	Deutsch
124626	English
27526	English
9623	English
46785	فارسی
400	English
880	Nederlands
146599	English
188588	
8447	English
10534	Dansk
10534	English
10534	Français
10534	Deutsch
17414	English
17414	Français
17414	Pусский
13997	English
2086	English
61548	English
9095	English
12158	English
9283	English
9208	English
40154	English
406	Français
45549	English
63076	English
11062	English
13685	Español
13685	English
47475	English
2045	English
9614	English
688	English
11907	Deutsch
10874	English
89333	English
96357	
197	English
197	Français
197	Latin
197	
103	English
103	Español
33542	广州话 / 廣州話
33542	English
43566	English
43566	Français
43566	Deutsch
71754	English
43612	Français
51352	English
16934	English
10324	English
78406	English
55731	English
32119	English
11066	Français
11066	English
11104	广州话 / 廣州話
11104	English
11104	日本語
11104	普通话
37975	Italiano
2074	English
27793	English
44284	العربية
44284	Français
290157	
110972	English
32622	English
73067	English
11863	English
55475	Español
124636	English
9101	English
123360	English
5757	English
39428	English
124639	
9302	Français
11000	English
11000	Français
249882	English
249882	Hrvatski
249882	Bosanski
16388	English
9737	English
30765	Deutsch
10474	English
22279	English
30157	English
568	English
11780	English
34996	English
414	English
649	Français
649	
649	Español
1873	English
5894	English
1775	English
8839	English
20649	English
10329	English
10329	Français
8963	English
26564	English
8068	English
8512	English
1572	English
1572	Deutsch
1572	Română
13552	English
259209	English
6520	English
6520	Français
9073	English
9073	Bahasa indonesia
9073	Bahasa melayu
10428	English
10428	Italiano
10428	日本語
10428	Pусский
17447	English
17447	Français
9886	English
9886	日本語
9482	English
19326	English
9344	English
9071	English
8973	English
15730	English
47608	English
2293	English
9070	English
68274	English
48787	Pусский
48787	English
34574	Deutsch
34574	English
1642	English
1642	Español
11472	English
11472	Pусский
36196	English
11980	English
58372	English
32646	English
10533	English
56088	
10802	English
10149	English
18402	English
9348	English
139408	Magyar
139408	English
281	English
5967	Français
79593	English
47939	English
36834	English
9090	English
9090	Español
3512	English
52856	English
77350	English
9560	English
9804	English
9804	Deutsch
9804	Español
31611	English
65796	广州话 / 廣州話
65796	English
49805	English
26258	English
26258	Deutsch
50797	Pусский
19155	shqip
19155	English
19155	
76	English
76	Deutsch
76	Français
11017	Français
11017	Español
11017	English
37141	English
9382	English
6715	English
18256	English
18256	Italiano
18256	svenska
22625	English
2292	English
1909	English
8984	English
61813	English
4954	English
62488	English
10531	English
11929	English
8467	English
10451	普通话
20156	English
20156	עִבְרִית
18395	English
522	English
397	Français
397	English
10525	English
27985	English
15789	English
27303	English
21183	English
10954	Français
47867	English
43475	English
72031	English
